Record_ID,Crop,State,Region,Pest_Name,Pest_Type,Month_Reported,Incidence_Percent,Incidence_Level,Probable_Cause,Recommended_Control,Control_Type,Source,Imputed_Flag,Incidence_Percent_Imputed,Year
173,Mustard,Madhya Pradesh,Central,Thrips,Insect,March,35.0,Medium,Excess nitrogen use,Crop rotation and field sanitation,Cultural,KVK alert,False,35.0,2025
174,Apple,Kerala,South,Leaf Rust,Fungal,November,53.3,Medium,Unbalanced fertilizer use,Use sticky traps and neem oil,IPM,PPQS report,False,53.3,2025
175,Soybean,Assam,East,Coffee Berry Borer,Insect,March,82.7,High,Poor drainage,Adopt resistant varieties,Cultural,Farmer field report,False,82.7,2025
176,Tomato,West Bengal,East,Stem Borer,Insect,September,67.6,High,Poor drainage,Crop rotation and field sanitation,Cultural,PPQS report,False,67.6,2025
177,Rice,West Bengal,East,Coffee Berry Borer,Insect,July,34.3,Medium,Uncontrolled weeds,Apply recommended fungicides,Chemical,PPQS report,False,34.3,2025
178,Cotton,Kerala,South,Blast,Fungal,January,59.0,Medium,Uncontrolled weeds,Release Trichogramma parasitoids,Biological,Farmer field report,False,59.0,2025
179,Coffee,Madhya Pradesh,Central,Thrips,Insect,April,12.1,Low,Continuous monocropping,Adopt resistant varieties,Cultural,KVK alert,False,12.1,2025
180,Sugarcane,Assam,East,Tea Mosquito Bug,Insect,October,62.0,High,Poor drainage,Use sticky traps and neem oil,IPM,KVK alert,False,62.0,2025
181,Okra,Himachal Pradesh,North,Blast,Fungal,March,12.6,Low,High humidity,Crop rotation and field sanitation,Cultural,KVK alert,False,12.6,2025
182,Chilli,Gujarat,West,Sigatoka,Fungal,April,84.2,High,Heavy rainfall and waterlogging,Use sticky traps and neem oil,IPM,Farmer field report,False,84.2,2025
183,Okra,West Bengal,East,Tea Mosquito Bug,Insect,August,44.2,Medium,High humidity,Release Trichogramma parasitoids,Biological,KVK alert,False,44.2,2025
184,Onion,Punjab,North,Thrips,Insect,December,52.9,Medium,High humidity,Release Trichogramma parasitoids,Biological,ICAR advisory,False,52.9,2025
185,Brinjal,Rajasthan,West,Tea Mosquito Bug,Insect,January,29.7,Low,Delayed sowing,Integrated Pest Management practices,IPM,ICAR advisory,False,29.7,2025
186,Apple,Punjab,North,Aphids,Insect,November,25.2,Low,Heavy rainfall and waterlogging,Integrated Pest Management practices,IPM,State Agriculture Dept,False,25.2,2025
187,Soybean,Rajasthan,West,Blast,Fungal,July,83.5,High,Delayed sowing,Apply recommended fungicides,Chemical,KVK alert,False,83.5,2025
188,Brinjal,Karnataka,South,Wilt,Fungal,September,72.3,High,Delayed sowing,Apply recommended fungicides,Chemical,KVK alert,False,72.3,2025
189,Mustard,West Bengal,East,Whitefly,Insect,January,57.2,Medium,Unbalanced fertilizer use,Integrated Pest Management practices,IPM,ICAR advisory,False,57.2,2025
190,Groundnut,West Bengal,East,Wilt,Fungal,November,73.7,High,Continuous monocropping,Use pheromone traps and neem spray,Biological,ICAR advisory,False,73.7,2025
191,Brinjal,Odisha,East,Stem Borer,Insect,September,68.1,High,Delayed sowing,Release Trichogramma parasitoids,Biological,PPQS report,False,68.1,2025
192,Pigeonpea,Jharkhand,East,Late Blight,Fungal,January,83.0,High,Excess nitrogen use,Use sticky traps and neem oil,IPM,PPQS report,False,83.0,2025
193,Tomato,Kerala,South,Blast,Fungal,December,,,Uncontrolled weeds,Crop rotation and field sanitation,Cultural,KVK alert,True,36.6,2025
194,Tomato,Tamil Nadu,South,Coffee Berry Borer,Insect,March,10.3,Low,Uncontrolled weeds,Use pheromone traps and neem spray,Biological,KVK alert,False,10.3,2025
195,Okra,Himachal Pradesh,North,Aphids,Insect,January,49.5,Medium,Unbalanced fertilizer use,Release Trichogramma parasitoids,Biological,KVK alert,False,49.5,2025
196,Brinjal,Haryana,North,Whitefly,Insect,February,10.5,Low,Delayed sowing,Crop rotation and field sanitation,Cultural,Farmer field report,False,10.5,2025
197,Apple,Gujarat,West,Brown Planthopper,Insect,March,62.3,High,High humidity,Apply recommended fungicides,Chemical,ICAR advisory,False,62.3,2025
198,Tea,Uttarakhand,North,Fall Armyworm,Insect,June,13.9,Low,High temperature stress,Apply recommended fungicides,Chemical,PPQS report,False,13.9,2025
199,Soybean,Uttarakhand,North,Tikka Leaf Spot,Fungal,December,55.8,Medium,Delayed sowing,Apply recommended fungicides,Chemical,KVK alert,False,55.8,2025
200,Tea,Odisha,East,Coffee Berry Borer,Insect,January,33.9,Medium,Invasive pest spread,Integrated Pest Management practices,IPM,ICAR advisory,False,33.9,2025
201,Mustard,Jharkhand,East,Stem Borer,Insect,May,19.8,Low,Uncontrolled weeds,Crop rotation and field sanitation,Cultural,Farmer field report,False,19.8,2025
202,Mustard,Assam,East,Leaf Rust,Fungal,December,14.7,Low,Excess nitrogen use,Adopt resistant varieties,Cultural,Farmer field report,False,14.7,2025
203,Maize,Himachal Pradesh,North,Wilt,Fungal,December,73.1,High,Uncontrolled weeds,Integrated Pest Management practices,IPM,Farmer field report,False,73.1,2025
204,Onion,Uttar Pradesh,North,Aphids,Insect,October,38.3,Medium,Poor drainage,Release Trichogramma parasitoids,Biological,Farmer field report,False,38.3,2025
205,Okra,Assam,East,Wilt,Fungal,November,74.6,High,Excess nitrogen use,Apply recommended fungicides,Chemical,State Agriculture Dept,False,74.6,2025
206,Potato,Andhra Pradesh,South,Stem Borer,Insect,January,73.7,High,Unbalanced fertilizer use,Use sticky traps and neem oil,IPM,Farmer field report,False,73.7,2025
207,Mustard,Haryana,North,Brown Planthopper,Insect,June,74.5,High,Unbalanced fertilizer use,Use pheromone traps and neem spray,Biological,PPQS report,False,74.5,2025
208,Soybean,Uttar Pradesh,North,Sigatoka,Fungal,February,50.5,Medium,Invasive pest spread,Use sticky traps and neem oil,IPM,ICAR advisory,False,50.5,2025
209,Cotton,West Bengal,East,Fruit Borer,Insect,July,59.3,Medium,High humidity,Use sticky traps and neem oil,IPM,PPQS report,False,59.3,2025
210,Potato,West Bengal,East,Tea Mosquito Bug,Insect,June,48.3,Medium,Heavy rainfall and waterlogging,Use sticky traps and neem oil,IPM,ICAR advisory,False,48.3,2025
211,Sugarcane,Himachal Pradesh,North,Blast,Fungal,November,79.2,High,Invasive pest spread,Integrated Pest Management practices,IPM,KVK alert,False,79.2,2025
212,Wheat,Assam,East,Fall Armyworm,Insect,October,35.2,Medium,Delayed sowing,Use pheromone traps and neem spray,Biological,PPQS report,False,35.2,2025
213,Tea,West Bengal,East,Sigatoka,Fungal,June,21.9,Low,High humidity,Crop rotation and field sanitation,Cultural,KVK alert,False,21.9,2025
214,Apple,Maharashtra,West,Thrips,Insect,October,57.6,Medium,Uncontrolled weeds,Adopt resistant varieties,Cultural,State Agriculture Dept,False,57.6,2025
215,Wheat,Uttar Pradesh,North,Late Blight,Fungal,February,29.0,Low,Heavy rainfall and waterlogging,Use sticky traps and neem oil,IPM,State Agriculture Dept,False,29.0,2025
216,Potato,Assam,East,Fall Armyworm,Insect,March,72.8,High,Unbalanced fertilizer use,Use pheromone traps and neem spray,Biological,KVK alert,False,72.8,2025
217,Mango,Andhra Pradesh,South,Sigatoka,Fungal,August,22.3,Low,Invasive pest spread,Integrated Pest Management practices,IPM,Farmer field report,False,22.3,2025
218,Soybean,West Bengal,East,Blast,Fungal,February,85.0,High,Poor drainage,Apply recommended fungicides,Chemical,ICAR advisory,False,85.0,2025
219,Brinjal,Punjab,North,Wilt,Fungal,September,34.9,Medium,High humidity,Adopt resistant varieties,Cultural,Farmer field report,False,34.9,2025
220,Maize,West Bengal,East,Whitefly,Insect,January,71.3,High,Uncontrolled weeds,Use pheromone traps and neem spray,Biological,Farmer field report,False,71.3,2025
221,Soybean,Gujarat,West,Fruit Borer,Insect,April,32.1,Medium,Invasive pest spread,Use sticky traps and neem oil,IPM,KVK alert,False,32.1,2025
222,Cotton,Uttar Pradesh,North,Blast,Fungal,March,11.2,Low,Excess nitrogen use,Release Trichogramma parasitoids,Biological,Farmer field report,False,11.2,2025
223,Cotton,Gujarat,West,Aphids,Insect,June,31.7,Medium,Uncontrolled weeds,Release Trichogramma parasitoids,Biological,PPQS report,False,31.7,2025
224,Tomato,Karnataka,South,Fall Armyworm,Insect,October,53.2,Medium,High humidity,Apply recommended fungicides,Chemical,ICAR advisory,False,53.2,2025
225,Okra,Telangana,South,Stem Borer,Insect,July,,,High temperature stress,Integrated Pest Management practices,IPM,PPQS report,True,53.2,2025
226,Tea,Rajasthan,West,Thrips,Insect,June,75.4,High,Delayed sowing,Use pheromone traps and neem spray,Biological,KVK alert,False,75.4,2025
227,Tea,Kerala,South,Stem Borer,Insect,December,46.4,Medium,Heavy rainfall and waterlogging,Integrated Pest Management practices,IPM,PPQS report,False,46.4,2025
228,Chilli,Kerala,South,Tea Mosquito Bug,Insect,October,39.1,Medium,Poor drainage,Adopt resistant varieties,Cultural,State Agriculture Dept,False,39.1,2025
229,Onion,Rajasthan,West,Whitefly,Insect,January,19.0,Low,Heavy rainfall and waterlogging,Integrated Pest Management practices,IPM,PPQS report,False,19.0,2025
230,Soybean,Odisha,East,Thrips,Insect,October,18.2,Low,Continuous monocropping,Crop rotation and field sanitation,Cultural,Farmer field report,False,18.2,2025
231,Maize,Bihar,East,Aphids,Insect,August,43.1,Medium,Excess nitrogen use,Apply recommended fungicides,Chemical,Farmer field report,False,43.1,2025
232,Tomato,Himachal Pradesh,North,Late Blight,Fungal,February,75.1,High,Excess nitrogen use,Integrated Pest Management practices,IPM,KVK alert,False,75.1,2025
233,Tea,West Bengal,East,Aphids,Insect,December,63.0,High,Continuous monocropping,Adopt resistant varieties,Cultural,Farmer field report,False,63.0,2025
234,Okra,Tamil Nadu,South,Thrips,Insect,October,54.4,Medium,Heavy rainfall and waterlogging,Apply recommended fungicides,Chemical,State Agriculture Dept,False,54.4,2025
235,Pigeonpea,Karnataka,South,Thrips,Insect,February,57.7,Medium,High temperature stress,Crop rotation and field sanitation,Cultural,KVK alert,False,57.7,2025
236,Wheat,Karnataka,South,Leaf Rust,Fungal,March,82.3,High,High humidity,Use sticky traps and neem oil,IPM,PPQS report,False,82.3,2025
237,Sugarcane,Rajasthan,West,Aphids,Insect,May,56.2,Medium,Unbalanced fertilizer use,Apply recommended fungicides,Chemical,State Agriculture Dept,False,56.2,2025
238,Soybean,Chhattisgarh,Central,Sigatoka,Fungal,November,85.5,High,High temperature stress,Adopt resistant varieties,Cultural,State Agriculture Dept,False,85.5,2025
239,Maize,Chhattisgarh,Central,Brown Planthopper,Insect,October,42.3,Medium,Poor drainage,Use sticky traps and neem oil,IPM,State Agriculture Dept,False,42.3,2025
240,Wheat,Odisha,East,Coffee Berry Borer,Insect,September,10.1,Low,Delayed sowing,Use sticky traps and neem oil,IPM,State Agriculture Dept,False,10.1,2025
241,Cotton,Bihar,East,Tea Mosquito Bug,Insect,January,66.2,High,High temperature stress,Adopt resistant varieties,Cultural,State Agriculture Dept,False,66.2,2025
242,Pigeonpea,Punjab,North,Late Blight,Fungal,July,63.0,High,Heavy rainfall and waterlogging,Apply recommended fungicides,Chemical,PPQS report,False,63.0,2025
243,Apple,Punjab,North,Tea Mosquito Bug,Insect,June,22.3,Low,Poor drainage,Apply recommended fungicides,Chemical,ICAR advisory,False,22.3,2025
244,Maize,Andhra Pradesh,South,Blast,Fungal,December,62.6,High,Poor drainage,Use pheromone traps and neem spray,Biological,PPQS report,False,62.6,2025
245,Mustard,Rajasthan,West,Coffee Berry Borer,Insect,December,44.1,Medium,Poor drainage,Integrated Pest Management practices,IPM,Farmer field report,False,44.1,2025
246,Mustard,Jharkhand,East,Tea Mosquito Bug,Insect,August,28.1,Low,High temperature stress,Release Trichogramma parasitoids,Biological,ICAR advisory,False,28.1,2025
247,Tea,Himachal Pradesh,North,Tea Mosquito Bug,Insect,December,50.1,Medium,High temperature stress,Release Trichogramma parasitoids,Biological,Farmer field report,False,50.1,2025
248,Banana,Telangana,South,Brown Planthopper,Insect,October,39.5,Medium,Excess nitrogen use,Integrated Pest Management practices,IPM,ICAR advisory,False,39.5,2025
249,Sugarcane,Assam,East,Tea Mosquito Bug,Insect,May,16.3,Low,Excess nitrogen use,Use pheromone traps and neem spray,Biological,PPQS report,False,16.3,2025
250,Okra,Karnataka,South,Tikka Leaf Spot,Fungal,November,56.4,Medium,Excess nitrogen use,Use pheromone traps and neem spray,Biological,State Agriculture Dept,False,56.4,2025
251,Apple,Andhra Pradesh,South,Whitefly,Insect,August,47.5,Medium,Invasive pest spread,Integrated Pest Management practices,IPM,State Agriculture Dept,False,47.5,2025
252,Soybean,Bihar,East,Blast,Fungal,January,57.8,Medium,Uncontrolled weeds,Adopt resistant varieties,Cultural,Farmer field report,False,57.8,2025
253,Groundnut,Telangana,South,Tikka Leaf Spot,Fungal,August,55.8,Medium,Uncontrolled weeds,Use sticky traps and neem oil,IPM,Farmer field report,False,55.8,2025
254,Rice,Bihar,East,Whitefly,Insect,February,16.1,Low,Uncontrolled weeds,Crop rotation and field sanitation,Cultural,PPQS report,False,16.1,2025
255,Coffee,Uttar Pradesh,North,Fall Armyworm,Insect,May,,,Continuous monocropping,Release Trichogramma parasitoids,Biological,PPQS report,True,61.4,2025
256,Sugarcane,Rajasthan,West,Fruit Borer,Insect,March,66.1,High,Heavy rainfall and waterlogging,Apply recommended fungicides,Chemical,Farmer field report,False,66.1,2025
257,Wheat,West Bengal,East,Stem Borer,Insect,March,75.7,High,Heavy rainfall and waterlogging,Use sticky traps and neem oil,IPM,KVK alert,False,75.7,2025
258,Pigeonpea,Madhya Pradesh,Central,Tikka Leaf Spot,Fungal,August,23.4,Low,Excess nitrogen use,Adopt resistant varieties,Cultural,State Agriculture Dept,False,23.4,2025
259,Wheat,Uttar Pradesh,North,Sigatoka,Fungal,February,,,Heavy rainfall and waterlogging,Integrated Pest Management practices,IPM,KVK alert,True,37.1,2025
260,Apple,Madhya Pradesh,Central,Late Blight,Fungal,November,48.0,Medium,Poor drainage,Release Trichogramma parasitoids,Biological,KVK alert,False,48.0,2025
261,Rice,Bihar,East,Coffee Berry Borer,Insect,August,35.3,Medium,Delayed sowing,Adopt resistant varieties,Cultural,ICAR advisory,False,35.3,2025
262,Cotton,Jharkhand,East,Tikka Leaf Spot,Fungal,June,44.5,Medium,Uncontrolled weeds,Crop rotation and field sanitation,Cultural,State Agriculture Dept,False,44.5,2025
263,Groundnut,Tamil Nadu,South,Fall Armyworm,Insect,November,46.9,Medium,Unbalanced fertilizer use,Adopt resistant varieties,Cultural,Farmer field report,False,46.9,2025
264,Potato,Assam,East,Fruit Borer,Insect,November,24.4,Low,Delayed sowing,Use pheromone traps and neem spray,Biological,ICAR advisory,False,24.4,2025
265,Maize,Andhra Pradesh,South,Late Blight,Fungal,February,64.8,High,Invasive pest spread,Apply recommended fungicides,Chemical,State Agriculture Dept,False,64.8,2025
266,Groundnut,Gujarat,West,Brown Planthopper,Insect,January,14.6,Low,Excess nitrogen use,Adopt resistant varieties,Cultural,PPQS report,False,14.6,2025
267,Coffee,Tamil Nadu,South,Wilt,Fungal,February,58.4,Medium,High temperature stress,Adopt resistant varieties,Cultural,Farmer field report,False,58.4,2025
268,Tomato,Tamil Nadu,South,Wilt,Fungal,March,47.4,Medium,Continuous monocropping,Adopt resistant varieties,Cultural,KVK alert,False,47.4,2025
269,Groundnut,Haryana,North,Wilt,Fungal,November,35.9,Medium,Poor drainage,Use sticky traps and neem oil,IPM,ICAR advisory,False,35.9,2025
270,Groundnut,Telangana,South,Late Blight,Fungal,July,14.8,Low,Uncontrolled weeds,Apply recommended fungicides,Chemical,KVK alert,False,14.8,2025
271,Maize,Himachal Pradesh,North,Coffee Berry Borer,Insect,April,24.3,Low,Heavy rainfall and waterlogging,Use pheromone traps and neem spray,Biological,PPQS report,False,24.3,2025
272,Apple,Haryana,North,Leaf Rust,Fungal,October,83.0,High,Uncontrolled weeds,Use pheromone traps and neem spray,Biological,ICAR advisory,False,83.0,2025
273,Maize,Karnataka,South,Thrips,Insect,December,45.7,Medium,Heavy rainfall and waterlogging,Apply recommended fungicides,Chemical,ICAR advisory,False,45.7,2025
274,Wheat,Punjab,North,Fall Armyworm,Insect,March,82.4,High,Excess nitrogen use,Use pheromone traps and neem spray,Biological,Farmer field report,False,82.4,2025
275,Okra,Himachal Pradesh,North,Late Blight,Fungal,July,72.5,High,Continuous monocropping,Release Trichogramma parasitoids,Biological,PPQS report,False,72.5,2025
276,Rice,Punjab,North,Wilt,Fungal,August,52.8,Medium,Invasive pest spread,Crop rotation and field sanitation,Cultural,State Agriculture Dept,False,52.8,2025
277,Pigeonpea,Telangana,South,Tikka Leaf Spot,Fungal,November,52.8,Medium,Invasive pest spread,Use pheromone traps and neem spray,Biological,KVK alert,False,52.8,2025
278,Soybean,Gujarat,West,Blast,Fungal,September,,,High temperature stress,Adopt resistant varieties,Cultural,PPQS report,True,37.0,2025
279,Pigeonpea,Tamil Nadu,South,Tikka Leaf Spot,Fungal,December,16.8,Low,Heavy rainfall and waterlogging,Adopt resistant varieties,Cultural,PPQS report,False,16.8,2025
280,Sugarcane,Telangana,South,Leaf Rust,Fungal,January,57.4,Medium,Heavy rainfall and waterlogging,Integrated Pest Management practices,IPM,ICAR advisory,False,57.4,2025
281,Apple,Bihar,East,Whitefly,Insect,September,74.9,High,High humidity,Use pheromone traps and neem spray,Biological,State Agriculture Dept,False,74.9,2025
282,Wheat,West Bengal,East,Sigatoka,Fungal,December,,,Continuous monocropping,Apply recommended fungicides,Chemical,Farmer field report,True,43.3,2025
283,Apple,Kerala,South,Wilt,Fungal,October,15.8,Low,Poor drainage,Integrated Pest Management practices,IPM,ICAR advisory,False,15.8,2025
284,Okra,Uttarakhand,North,Brown Planthopper,Insect,April,20.4,Low,Poor drainage,Adopt resistant varieties,Cultural,ICAR advisory,False,20.4,2025
285,Soybean,Tamil Nadu,South,Whitefly,Insect,October,57.3,Medium,Continuous monocropping,Use pheromone traps and neem spray,Biological,KVK alert,False,57.3,2025
286,Coffee,Uttarakhand,North,Leaf Rust,Fungal,February,44.1,Medium,High temperature stress,Crop rotation and field sanitation,Cultural,ICAR advisory,False,44.1,2025
287,Tea,Jharkhand,East,Blast,Fungal,June,73.4,High,High humidity,Release Trichogramma parasitoids,Biological,PPQS report,False,73.4,2025
288,Onion,Karnataka,South,Stem Borer,Insect,May,43.2,Medium,Invasive pest spread,Release Trichogramma parasitoids,Biological,PPQS report,False,43.2,2025
289,Brinjal,Madhya Pradesh,Central,Coffee Berry Borer,Insect,October,,,Continuous monocropping,Use sticky traps and neem oil,IPM,Farmer field report,True,40.0,2025
290,Tomato,Andhra Pradesh,South,Coffee Berry Borer,Insect,August,10.6,Low,Continuous monocropping,Adopt resistant varieties,Cultural,Farmer field report,False,10.6,2025
291,Soybean,Haryana,North,Wilt,Fungal,August,26.5,Low,Uncontrolled weeds,Release Trichogramma parasitoids,Biological,KVK alert,False,26.5,2025
292,Mustard,Madhya Pradesh,Central,Blast,Fungal,October,57.7,Medium,Heavy rainfall and waterlogging,Release Trichogramma parasitoids,Biological,ICAR advisory,False,57.7,2025
293,Soybean,Odisha,East,Late Blight,Fungal,January,25.4,Low,Delayed sowing,Use pheromone traps and neem spray,Biological,Farmer field report,False,25.4,2025
294,Banana,Jharkhand,East,Aphids,Insect,April,60.1,High,Unbalanced fertilizer use,Crop rotation and field sanitation,Cultural,ICAR advisory,False,60.1,2025
295,Potato,Tamil Nadu,South,Sigatoka,Fungal,March,87.5,High,Heavy rainfall and waterlogging,Integrated Pest Management practices,IPM,PPQS report,False,87.5,2025
296,Tomato,Telangana,South,Brown Planthopper,Insect,November,26.8,Low,Uncontrolled weeds,Crop rotation and field sanitation,Cultural,Farmer field report,False,26.8,2025
297,Brinjal,Telangana,South,Stem Borer,Insect,December,,,Delayed sowing,Apply recommended fungicides,Chemical,PPQS report,True,56.4,2025
298,Okra,Assam,East,Stem Borer,Insect,February,67.7,High,Excess nitrogen use,Release Trichogramma parasitoids,Biological,State Agriculture Dept,False,67.7,2025
299,Mustard,Gujarat,West,Wilt,Fungal,November,28.4,Low,Continuous monocropping,Crop rotation and field sanitation,Cultural,PPQS report,False,28.4,2025
300,Cotton,Madhya Pradesh,Central,Wilt,Fungal,July,40.0,Medium,Unbalanced fertilizer use,Use pheromone traps and neem spray,Biological,KVK alert,False,40.0,2025
301,Tea,Himachal Pradesh,North,Brown Planthopper,Insect,July,84.2,High,Heavy rainfall and waterlogging,Apply recommended fungicides,Chemical,KVK alert,False,84.2,2025
302,Banana,Kerala,South,Whitefly,Insect,December,38.7,Medium,Uncontrolled weeds,Apply recommended fungicides,Chemical,State Agriculture Dept,False,38.7,2025
303,Sugarcane,Telangana,South,Wilt,Fungal,October,,,Poor drainage,Use pheromone traps and neem spray,Biological,KVK alert,True,43.3,2025
304,Tomato,West Bengal,East,Leaf Rust,Fungal,May,73.2,High,Excess nitrogen use,Apply recommended fungicides,Chemical,Farmer field report,False,73.2,2025
305,Apple,Madhya Pradesh,Central,Stem Borer,Insect,July,49.1,Medium,Unbalanced fertilizer use,Release Trichogramma parasitoids,Biological,KVK alert,False,49.1,2025
306,Brinjal,Uttar Pradesh,North,Brown Planthopper,Insect,December,79.8,High,Unbalanced fertilizer use,Crop rotation and field sanitation,Cultural,KVK alert,False,79.8,2025
307,Tea,Madhya Pradesh,Central,Coffee Berry Borer,Insect,October,83.1,High,High humidity,Integrated Pest Management practices,IPM,ICAR advisory,False,83.1,2025
308,Wheat,Himachal Pradesh,North,Wilt,Fungal,September,,,Delayed sowing,Integrated Pest Management practices,IPM,KVK alert,True,57.4,2025
309,Cotton,Rajasthan,West,Whitefly,Insect,April,70.2,High,High temperature stress,Apply recommended fungicides,Chemical,PPQS report,False,70.2,2025
310,Banana,Bihar,East,Leaf Rust,Fungal,November,11.3,Low,Uncontrolled weeds,Apply recommended fungicides,Chemical,KVK alert,False,11.3,2025
311,Tea,Chhattisgarh,Central,Brown Planthopper,Insect,August,21.1,Low,High temperature stress,Apply recommended fungicides,Chemical,State Agriculture Dept,False,21.1,2025
312,Brinjal,Andhra Pradesh,South,Tea Mosquito Bug,Insect,November,81.5,High,Invasive pest spread,Release Trichogramma parasitoids,Biological,ICAR advisory,False,81.5,2025
313,Soybean,Haryana,North,Sigatoka,Fungal,May,59.0,Medium,Excess nitrogen use,Use sticky traps and neem oil,IPM,PPQS report,False,59.0,2025
314,Maize,Uttarakhand,North,Coffee Berry Borer,Insect,June,14.4,Low,Invasive pest spread,Use pheromone traps and neem spray,Biological,ICAR advisory,False,14.4,2025
315,Pigeonpea,Odisha,East,Whitefly,Insect,October,,,Invasive pest spread,Apply recommended fungicides,Chemical,Farmer field report,True,53.2,2025
316,Apple,Gujarat,West,Blast,Fungal,June,19.1,Low,Heavy rainfall and waterlogging,Adopt resistant varieties,Cultural,Farmer field report,False,19.1,2025
317,Potato,Madhya Pradesh,Central,Fruit Borer,Insect,June,50.3,Medium,High temperature stress,Crop rotation and field sanitation,Cultural,ICAR advisory,False,50.3,2025
318,Maize,Odisha,East,Fruit Borer,Insect,August,52.1,Medium,Continuous monocropping,Integrated Pest Management practices,IPM,Farmer field report,False,52.1,2025
319,Apple,Bihar,East,Whitefly,Insect,October,63.9,High,Continuous monocropping,Apply recommended fungicides,Chemical,KVK alert,False,63.9,2025
320,Maize,Karnataka,South,Late Blight,Fungal,March,86.5,High,Continuous monocropping,Apply recommended fungicides,Chemical,State Agriculture Dept,False,86.5,2025
321,Cotton,Kerala,South,Whitefly,Insect,March,51.7,Medium,High humidity,Crop rotation and field sanitation,Cultural,KVK alert,False,51.7,2025
322,Apple,Kerala,South,Whitefly,Insect,June,69.0,High,High humidity,Crop rotation and field sanitation,Cultural,PPQS report,False,69.0,2025
323,Maize,Andhra Pradesh,South,Tea Mosquito Bug,Insect,April,51.6,Medium,Invasive pest spread,Integrated Pest Management practices,IPM,Farmer field report,False,51.6,2025
324,Onion,West Bengal,East,Whitefly,Insect,October,52.4,Medium,Delayed sowing,Integrated Pest Management practices,IPM,KVK alert,False,52.4,2025
325,Soybean,Chhattisgarh,Central,Blast,Fungal,May,30.8,Medium,Heavy rainfall and waterlogging,Crop rotation and field sanitation,Cultural,State Agriculture Dept,False,30.8,2025
326,Wheat,Kerala,South,Fruit Borer,Insect,May,23.3,Low,Poor drainage,Adopt resistant varieties,Cultural,Farmer field report,False,23.3,2025
327,Soybean,Maharashtra,West,Blast,Fungal,December,63.3,High,Poor drainage,Apply recommended fungicides,Chemical,PPQS report,False,63.3,2025
328,Cotton,Telangana,South,Fruit Borer,Insect,October,30.8,Medium,Poor drainage,Apply recommended fungicides,Chemical,Farmer field report,False,30.8,2025
329,Wheat,West Bengal,East,Fruit Borer,Insect,March,53.2,Medium,Poor drainage,Release Trichogramma parasitoids,Biological,State Agriculture Dept,False,53.2,2025
330,Cotton,Andhra Pradesh,South,Late Blight,Fungal,August,85.8,High,Invasive pest spread,Apply recommended fungicides,Chemical,ICAR advisory,False,85.8,2025
331,Apple,Assam,East,Fruit Borer,Insect,November,47.9,Medium,Uncontrolled weeds,Use sticky traps and neem oil,IPM,Farmer field report,False,47.9,2025
332,Sugarcane,Chhattisgarh,Central,Wilt,Fungal,August,19.0,Low,Heavy rainfall and waterlogging,Use pheromone traps and neem spray,Biological,PPQS report,False,19.0,2025
333,Apple,Tamil Nadu,South,Fall Armyworm,Insect,January,77.3,High,Heavy rainfall and waterlogging,Crop rotation and field sanitation,Cultural,ICAR advisory,False,77.3,2025
334,Onion,Telangana,South,Thrips,Insect,November,52.1,Medium,Uncontrolled weeds,Apply recommended fungicides,Chemical,ICAR advisory,False,52.1,2025
335,Maize,Jharkhand,East,Tea Mosquito Bug,Insect,August,86.6,High,Delayed sowing,Integrated Pest Management practices,IPM,PPQS report,False,86.6,2025
336,Okra,West Bengal,East,Thrips,Insect,October,14.5,Low,Invasive pest spread,Integrated Pest Management practices,IPM,PPQS report,False,14.5,2025
337,Mustard,Odisha,East,Late Blight,Fungal,June,,,Invasive pest spread,Crop rotation and field sanitation,Cultural,State Agriculture Dept,True,64.1,2025
338,Apple,Karnataka,South,Leaf Rust,Fungal,December,69.3,High,High temperature stress,Use sticky traps and neem oil,IPM,KVK alert,False,69.3,2025
339,Soybean,Maharashtra,West,Sigatoka,Fungal,December,43.9,Medium,High temperature stress,Apply recommended fungicides,Chemical,Farmer field report,False,43.9,2025
340,Coffee,Karnataka,South,Blast,Fungal,April,89.1,High,Delayed sowing,Crop rotation and field sanitation,Cultural,ICAR advisory,False,89.1,2025
341,Tea,Punjab,North,Stem Borer,Insect,January,83.2,High,High temperature stress,Apply recommended fungicides,Chemical,Farmer field report,False,83.2,2025
342,Brinjal,Chhattisgarh,Central,Sigatoka,Fungal,March,76.6,High,Uncontrolled weeds,Release Trichogramma parasitoids,Biological,KVK alert,False,76.6,2025
343,Wheat,Bihar,East,Tea Mosquito Bug,Insect,October,54.7,Medium,Heavy rainfall and waterlogging,Apply recommended fungicides,Chemical,ICAR advisory,False,54.7,2025
344,Rice,Kerala,South,Fall Armyworm,Insect,May,76.7,High,Heavy rainfall and waterlogging,Use pheromone traps and neem spray,Biological,State Agriculture Dept,False,76.7,2025
345,Mustard,Maharashtra,West,Whitefly,Insect,December,12.3,Low,Uncontrolled weeds,Integrated Pest Management practices,IPM,ICAR advisory,False,12.3,2025
346,Coffee,Odisha,East,Thrips,Insect,August,79.5,High,Heavy rainfall and waterlogging,Adopt resistant varieties,Cultural,ICAR advisory,False,79.5,2025
347,Banana,Assam,East,Wilt,Fungal,October,,,Uncontrolled weeds,Apply recommended fungicides,Chemical,Farmer field report,True,27.3,2025
